age,len
0.288925,35.4462
0.350004,42.0923
0.394322,44.6769
0.433081,46.5231
0.46623,46.5231
0.527004,46.5231
0.549188,48.3692
0.576745,46.8923
0.720391,46.8923
0.742575,48.7385
0.886171,47.6308
0.908321,48.7385
0.936014,50.2154
0.963587,49.1077
1.09122,61.2923
1.09132,63.5077
1.10798,65.3538
1.21901,76.8
1.21921,81.2308
1.26902,83.0769
1.34106,87.8769
1.41297,89.7231
1.34132,93.4154
1.33032,94.5231
1.40219,95.6308
1.4298,95.2615
1.48512,96.7385
1.5403,95.2615
1.84969,95.2615
1.81654,95.2615
1.96003,91.9385
1.97113,93.0462
2.10941,96.3692
2.13154,97.1077
2.12614,99.6923
2.12083,104.492
2.1209,105.969
2.13753,107.077
